Property Melting Point,Property Density,Property Boiling Point,Property Solubility,Property Molar Mass,Name,formula
,,,,,PF-514273,C$_{21}$H$_{17}$Cl$_{2}$F$_{2}$N$_{3}$O$_{2}$
,,,,253.34,Buscaline,C$_{14}$H$_{23}$NO$_{3}$
,,,,755.9,Vaniprevir,C$_{38}$H$_{53}$N$_{5}$O$_{9}$S
,,,,,Lincomycin,C$_{18}$H$_{34}$N$_{2}$O$_{6}$S
,,,,334.36,Combretastatin,C$_{18}$H$_{22}$O$_{6}$
,,,,,DS-1 (drug),
,,,,282.24,Pseudobaptigenin,C$_{16}$H$_{10}$O$_{5}$
106-110,1.005,344.86,46.5,,Acridine,C$_{13}$H$_{9}$N
,,,,,Oxitropium bromide,
,,499.7,,,Ergosterol peroxide,C$_{28}$H$_{44}$O$_{3}$
,,,,,Azacitidine,C$_{8}$H$_{12}$N$_{4}$O$_{5}$
,,,,,Darunavir,C$_{27}$H$_{37}$N$_{3}$O$_{7}$S
,,,,,Piromelatine,chemical_formulaC$_{17}$H$_{16}$N$_{2}$O$_{4}$
,,,,,Fimasartan,C$_{27}$H$_{31}$N$_{7}$OS
,,,,,Disufenton sodium,
,,,,,Tesamorelin,C$_{221}$H$_{366}$N$_{72}$O$_{67}$S
,,,,,Sodium silox,C$_{12}$H$_{27}$NaOSi
,,,,,Lirequinil,C$_{26}$H$_{25}$ClN$_{2}$O$_{3}$
>230,,,,796.71,Pentamethylcyclopentadienyl iridium dichloride dimer,C$_{20}$H$_{30}$Cl$_{4}$Ir$_{2}$
,,,,,S-23 (drug),
,,,,,Benzphetamine,C$_{17}$H$_{21}$N
,,,,,Manganese violet,H$_{4}$NMnO$_{7}$P$_{2}$
,,,,300.26,Diosmetin,C$_{16}$H$_{12}$O$_{6}$
,0.878,119-121,Reactive,,Phenylsilane,C$_{6}$H$_{8}$Si
,,,,,Oxanamide,C$_{8}$H$_{15}$NO$_{2}$
,,,,,CGS-9896,C$_{16}$H$_{10}$ClN$_{3}$O
,,,,,Rescinnamine,C$_{35}$H$_{42}$N$_{2}$O$_{9}$
717,,875,insoluble,456.76,Thallium(III) oxide,Tl$_{2}$O$_{3}$
1387,,2230,,,Yttrium(III) fluoride,YF$_{3}$
,,,,,Norbormide,C$_{33}$H$_{25}$N$_{3}$O$_{3}$
,,,,424.48622,Sophoraflavanone G,C$_{25}$H$_{28}$O$_{6}$
,,,,,Tirapazamine,C$_{7}$H$_{6}$N$_{4}$O$_{2}$
55,,,,338.397,Bergamottin,C$_{21}$H$_{22}$O$_{4}$
,,,,,Mephenoxalone,C$_{11}$H$_{13}$NO$_{4}$
,,,,,Iloperidone,C$_{24}$H$_{27}$FN$_{2}$O$_{4}$
1200,3.4,1400,sparingly soluble,104.862,Titanium(III) fluoride,TiF$_{3}$
,,,,,Tolterodine,C$_{22}$H$_{31}$NO
173.2,1.886,500,,,Potassium thiocyanate,KSCN
,,,,,Tetrachlorodecaoxide,H2Cl4O11charge-4
,,,,,Cianopramine,C$_{20}$H$_{23}$N$_{3}$
275,,,water,,Tris(ethylenediamine)cobalt(III) chloride,C$_{6}$H$_{24}$N$_{6}$Cl$_{3}$Co
,,,,,Varenicline,C$_{13}$H$_{13}$N$_{3}$
,,,,,Triazane,N$_{3}$H$_{5}$
,,,,622.75,Rodiasine,C$_{38}$H$_{42}$N$_{2}$O$_{6}$
203,,,,,Psi-DOM,C$_{12}$H$_{19}$NO$_{2}$
184,1.56,235,58,,Succinic acid,C$_{4}$H$_{6}$O$_{4}$
,,,,,Elvitegravir,C$_{23}$H$_{23}$ClFNO$_{5}$
,0.893,229,,152.24,Citral,C$_{10}$H$_{16}$O
-175.42,,-40.7,0.7799,86.47,Chlorodifluoromethane,CHClF$_{2}$
,,,,,AD-1211,C$_{23}$H$_{30}$N$_{2}$O
,,,,,MR-2096,C$_{21}$H$_{25}$NO$_{5}$
667,5.56,,,151.57,Germanium selenide,GeSe
,,,,,Surinabant,C$_{23}$H$_{23}$BrCl$_{2}$N$_{4}$O
,,130-131,,,Hexanal,C$_{6}$H$_{12}$O
,,,,448.38,Quercitrin,C$_{21}$H$_{20}$O$_{11}$
,,decompose 100,"water, ethanol",339.243591,Zirconium nitrate,Zr(NO$_{3}$)$_{4}$
,,,,423.27,Chlorophenol red,C$_{19}$H$_{12}$Cl$_{2}$O$_{5}$S
,,,,247.55,Picryl chloride,C$_{6}$H$_{2}$ClN$_{3}$O$_{6}$
,,,,,Sacubitril,C$_{24}$H$_{29}$NO$_{5}$
2,,194,2% (20$^{\circ}$C),,Dimethylaniline,C$_{8}$H$_{11}$N
,,,,334.36,Combretastatin B-1,C$_{18}$H$_{22}$O$_{6}$
,,,,297.1,Fenclofenac,C$_{14}$H$_{10}$Cl$_{2}$O$_{3}$
78-79,1.2946,,58,,Methomyl,C$_{5}$H$_{10}$N$_{2}$O$_{2}$S
,,,,,AS-19 (drug),
,,,,,Biclotymol,C$_{21}$H$_{26}$Cl$_{2}$O$_{2}$
,,,,219.2,Nitroarginine,C$_{6}$H$_{13}$N$_{5}$O$_{4}$
,,,2000,342.3,Sucrose,C$_{12}$H$_{22}$O$_{11}$
,1.29,,,,Gambogic acid,C$_{38}$H$_{44}$O$_{8}$
-97,,,,347.147,Tetrabutyltin,C$_{16}$H$_{36}$Sn
,,,,,Neurokinin B,C$_{55}$H$_{79}$N$_{13}$O$_{14}$S$_{2}$
,,,,,Iobitridol,C$_{20}$H$_{28}$I$_{3}$N$_{3}$O$_{9}$
,,,,,Streptomycin,C$_{21}$H$_{39}$N$_{7}$O$_{12}$
,,,,,Flumedroxone,C$_{22}$H$_{29}$F$_{3}$O$_{3}$
,1.001,160,,110.09,Phenylphosphine,C$_{6}$H$_{5}$PH$_{2}$
-8.1,0.9255,215.32,1.2,,Isophorone,C$_{9}$H$_{14}$O
,,,,,Methoxyphenamine,C$_{11}$H$_{17}$NO
167,,,,181.128,Vanadocene,V(C$_{5}$H$_{5}$)$_{2}$
924,8.164,,insoluble,334.8,Lead telluride,PbTe
,,,,,Clomocycline,C$_{23}$H$_{25}$ClN$_{2}$O$_{9}$
,,,,,Trifluoromethylaminoindane,C$_{10}$H$_{10}$F$_{3}$N
,,,,,Tetraphenylporphine sulfonate,
,,,,,Magnesium diuranate,MgU$_{2}$O$_{7}$
240,,,,,Poly(4-methyl-1-pentene),(C$_{6}$H$_{12}$)$_{n}$
163.19,1.186,394.23,2500,,Tebuthiuron,C$_{9}$H$_{16}$N$_{4}$OS
1477,4.138,,insoluble,100.697,Gallium phosphide,GaP
170-171.5,,,,505.559,Hernandaline,C$_{29}$H$_{31}$NO$_{7}$
,,,,,Oxaziridine,CH$_{3}$NO
,,,,274.154,Meta-DOB,C$_{11}$H$_{16}$BrNO$_{2}$
,,,,274.26,Apiforol,C$_{15}$H$_{14}$O$_{5}$
,,,,175.18,Valienamine,C$_{7}$H$_{13}$NO$_{4}$
165,,,,,Drotebanol,C$_{19}$H$_{27}$NO$_{4}$
,,,,,Naproxcinod,C$_{18}$H$_{21}$NO$_{6}$
,,,,,Misoprostol,C$_{22}$H$_{38}$O$_{5}$
2952,7.09,,Insoluble,,Zirconium nitride,ZrN
,,,,,Prilocaine,C$_{13}$H$_{20}$N$_{2}$O
230,,,,162.14,Umbelliferone,C$_{9}$H$_{6}$O$_{3}$
,,,,130.186,Basketene,C$_{10}$H$_{10}$
,,95,,,Vinylsulfonic acid,C$_{2}$H$_{4}$O$_{3}$S
219,,,1,126.11,Phloroglucinol,C$_{6}$H$_{6}$O$_{3}$
,,,,,Cefbuperazone,C$_{22}$H$_{29}$N$_{9}$O$_{9}$S$_{2}$
,,,,,Methafurylene,C$_{14}$H$_{19}$N$_{3}$O
,,,,,Neltenexine,C$_{18}$H$_{20}$Br$_{2}$N$_{2}$O$_{2}$S
,,203,,,Phytol,C$_{20}$H$_{40}$O
-77.73,,-33.34,47% w/w,17.031,Ammonia,NH$_{3}$
221-224,,,Insoluble,,Thymol blue,C$_{27}$H$_{30}$O$_{5}$S
,,,,,Cefminox,C$_{16}$H$_{21}$N$_{7}$O$_{7}$S$_{3}$
,,,,129.18,Metam sodium,C$_{2}$H$_{4}$NNaS$_{2}$
152,,,,,Ibogaine,C$_{20}$H$_{26}$N$_{2}$O
,,,,,Poly(2 6-diphenylphenylene oxide),(C$_{18}$H$_{12}$O)$_{x}$
632,6.77,,2.7,504.83,Thallium(I) sulfate,Tl$_{2}$SO$_{4}$
,,,,,Wikipedia:WikiProject Medicine/Translation task force/RTT/Simple dapsone,
,,,,,Doripenem,C$_{15}$H$_{24}$N$_{4}$O$_{6}$S$_{2}$
,,,,272.0625,Uranium monophosphide,UP
,,,,,Deoxyguanosine monophosphate,C$_{10}$H$_{14}$N$_{5}$O$_{7}$P
,,,,,Hexafluorophosphate,F$_{6}$P$^{-}$
,,,,,GR-159 897,
,,,,,Aderbasib,C$_{21}$H$_{28}$N$_{4}$O$_{5}$
Aldrich 110-111,,,Insoluble,234.29,Dibenzylideneacetone,C$_{17}$H$_{14}$O
,,,,,Alclofenac,C$_{11}$H$_{11}$ClO$_{3}$
146,4.69,,6,455.635,Arsenic triiodide,AsI$_{3}$
,,,,,Methedrone,C$_{11}$H$_{15}$NO$_{2}$
,,,,,Amentoflavone,C$_{30}$H$_{18}$O$_{10}$
,,,,,Felbinac,C$_{14}$H$_{12}$O$_{2}$
,,,,819.16,Staphyloxanthin,C$_{51}$H$_{78}$O$_{8}$
,,,,,Norboletone,C$_{21}$H$_{32}$O$_{2}$
485,,,,545.55,Mirex,C$_{10}$Cl$_{12}$
,,,,320.25,Dihydrogossypetin,C$_{15}$H$_{12}$O$_{8}$
,0.89,134-135,organic solvents,,Triethoxysilane,C$_{6}$H$_{16}$O$_{3}$Si
,,,,,O-Desmethyltramadol,C$_{15}$H$_{23}$NO$_{2}$
91-93,,,,,Rhamnose,C$_{6}$H$_{12}$O$_{5}$
-78,0.876,142,0.3% (20$^{\circ}$C),130.19,Isoamyl acetate,C$_{7}$H$_{14}$O$_{2}$
750,8.3,,insoluble,122.42,Methyl vinyl ketone,PdO
,,29.8,,,Silacyclobutane,C$_{3}$H$_{8}$Si
,,,,,Dihexyverine,C$_{20}$H$_{35}$NO$_{2}$
-1,1.03,253,Miscible,114.14,Caprolactone,C$_{6}$H$_{10}$O$_{2}$
,,95,,,Acetone cyanohydrin,C$_{4}$H$_{7}$NO
425,4.28,,2.5,,Sodium iodate,NaIO$_{3}$
,,,,,DMeOB,C$_{16}$H$_{16}$N$_{2}$O$_{2}$
,,,,,Geranylgeraniol,C$_{20}$H$_{34}$O
,,,,,Probenecid,C$_{13}$H$_{19}$NO$_{4}$S
,,,,,Palladium tetrafluoride,PdF$_{4}$
110,3.6,,1.055,159.609,Copper(II) sulfate,CuSO$_{4}$(anhydrous)
,,,,328.445,HU-331,C$_{21}$H$_{28}$O$_{3}$
,,,,230.97,Scandium nitrate,Sc(NO$_{3}$)$_{3}$
,,,,,Tivantinib,C$_{23}$H$_{19}$N$_{3}$O$_{2}$
,,,,450.39,Smitilbin,C$_{21}$H$_{22}$O$_{11}$
,,,,,G-130,C$_{12}$H$_{17}$NO
45.5,,185,,,Angelic acid,C$_{5}$H$_{8}$O$_{2}$
,,,,,Alisporivir,C$_{63}$H$_{113}$N$_{11}$O$_{12}$
,,,,,PWZ-029,C$_{14}$H$_{14}$ClN$_{3}$O$_{2}$
182,,,14.2,76.12,Thiourea,CH$_{4}$N$_{2}$S
,,,,,Mosapramine,C$_{28}$H$_{35}$ClN$_{4}$O
93-96,,168-172,,,Norcamphor,C$_{7}$H$_{10}$O
,,,,,Chlorine monoxide,ClO
,,,,541.55,Menogaril,C$_{28}$H$_{31}$NO$_{10}$
,,,,,Quinupramine,C$_{21}$H$_{24}$N$_{2}$
187-189,,,,,Europium acetylacetonate,EuC$_{15}$H$_{21}$O$_{6}$
,,,,,Merbromin,C$_{20}$H$_{8}$Br$_{2}$HgNa$_{2}$O$_{6}$
,,,,,Phenglutarimide,C$_{17}$H$_{24}$N$_{2}$O$_{2}$
,,,,,Temoporfin,C$_{44}$H$_{32}$N$_{4}$O$_{4}$
356,2.32,400,3.13,,Potassium chlorate,KClO$_{3}$
-103.5,0.811,82.98,insoluble in water,82.143,Cyclohexene,C$_{6}$H$_{10}$
,,,,596.869,Rhenium(VII) sulfide,Re$_{2}$S$_{7}$
,,,,,Ibrolipim,C$_{19}$H$_{20}$BrN$_{2}$O$_{4}$P
,,,,,Tioguanine,C$_{5}$H$_{5}$N$_{5}$S
290,,,0.0004% (20$^{\circ}$C),,Benomyl,C$_{14}$H$_{18}$N$_{4}$O$_{3}$
,,,,,Magnesium pyridoxal 5-phosphate glutamate,
,,,,639.58,Malvidin-3-O-(6-p-coumaroyl)glucoside,C$_{32}$H$_{31}$O$_{14}$
,,,Low,,Solvent Red 26,C$_{25}$H$_{22}$N$_{4}$O
,,,,,Virodhamine,C$_{22}$H$_{37}$NO$_{2}$
,,,,,Argatroban,C$_{23}$H$_{36}$N$_{6}$O$_{5}$S
,,120,,,DSS (NMR standard),C$_{6}$H$_{16}$O$_{3}$SSi
,,,,1084.68,Punicacortein C,C$_{48}$H$_{28}$O$_{30}$
-90,,-86,decomposes,104.0791,Silicon tetrafluoride,SiF$_{4}$
,,,,,L-368 899,
,,,,100.99421,Sodium peroxynitrate,NaNO$_{4}$
,,,,,Org 28611,
,,,,,Ebselen,C$_{13}$H$_{9}$NOSe
,,,,,Ritiometan,C$_{7}$H$_{10}$O$_{6}$S$_{3}$
,,,,,Clofedanol,C$_{17}$H$_{20}$ClNO
,,,,,Anipamil,C$_{34}$H$_{52}$N$_{2}$O$_{2}$
86.5,,250,slightly soluble in water,678.59,Sucrose octaacetate,C$_{28}$H$_{38}$O$_{19}$
,,,,,Ertapenem,C$_{22}$H$_{25}$N$_{3}$O$_{7}$S
,,,,,Fluorouracil,C$_{4}$H$_{3}$FN$_{2}$O$_{2}$
93-95,,,insoluble,248.39,Terthiophene,C$_{12}$H$_{8}$S$_{3}$
,,,,,Polyvinyl butyral,(C$_{8}$H$_{14}$O$_{2}$)$_{n}$
,,,,,Pegloticase,chemical_formulaC$_{1549}$H$_{2430}$N$_{408}$O$_{448}$S8}$(peptidemonomer)
,,,,297.27,Uranium borohydride,U(BH$_{4}$)$_{4}$
,,,,,Adrenalone,C$_{9}$H$_{11}$NO$_{3}$
,,,,,CID-85469571,C$_{20}$H$_{17}$ClN$_{2}$O$_{2}$S
,,,,414.62,Yamogenin,C$_{27}$H$_{42}$O$_{3}$
,,,,,Pregabalin,C$_{8}$H$_{17}$NO$_{2}$
,,,,3740.415,Lambertianin D,C$_{164}$H$_{106}$O$_{104}$
,,,,,Iodamide,C$_{12}$H$_{11}$I$_{3}$N$_{2}$O$_{4}$
,,,,,Lurosetron,C$_{17}$H$_{17}$FN$_{4}$O
,,,,,Ramosetron,C$_{17}$H$_{17}$N$_{3}$O
-102,1.013-1.020,148,,,Allyl isothiocyanate,C$_{4}$H$_{5}$NS
58,1.5,,"Soluble, decomposes in hot water",96.09,Ammonium carbonate,(NH$_{4}$)$_{2}$CO$_{3}$
,,,,,O-1602,C$_{17}$H$_{22}$O$_{2}$
,,,,,Flutoprazepam,C$_{19}$H$_{16}$ClFN$_{2}$O
,,,,,Dipropanoylmorphine,C$_{23}$H$_{27}$NO$_{5}$
,,,,304.25,Vicine,C$_{10}$H$_{16}$N$_{4}$O$_{7}$
,,,,,Nonacosane,C$_{29}$H$_{60}$
,,,,,S-40503,C$_{15}$H$_{23}$N$_{3}$O$_{3}$
,,,,,Beta-Phenylmethamphetamine,C$_{16}$H$_{19}$N
,,,,,JNJ-26489112,C$_{9}$H$_{11}$ClN$_{2}$O$_{4}$S
,,,,,Oxetene,C$_{3}$H$_{4}$O
,,,,,Quazinone,C$_{11}$H$_{10}$ClN$_{3}$O
,,,,,Potassium tetraperoxochromate(V),K$_{3}$CrO$_{8}$
,1.601,,,,Alginic acid,(C$_{6}$H$_{8}$O$_{6}$)$_{n}$
,,,,,Silylene,H$_{2}$Si
,,,,434.35,Avicularin,C$_{20}$H$_{18}$O$_{11}$
,,,,,Certolizumab pegol,
139,,,"good, also good in Ethyl acetate",,Lotaustralin,C$_{11}$H$_{19}$NO$_{6}$
,,,,,Beclometasone dipropionate,
118,,,,,Fructose-asparagine,C$_{10}$H$_{18}$N$_{2}$O$_{8}$
19.5,1.0978,243.5,,108.14,Phenylhydrazine,C$_{6}$H$_{8}$N$_{2}$
180,,,,268.35,Methylcholanthrene,C$_{21}$H$_{16}$
300,2.459,480,insoluble,123.9599,Vanadium(V) oxytrifluoride,F$_{3}$OV
,,,,504.437,Maltotriose,C$_{18}$H$_{32}$O$_{16}$
,,,,,Tizanidine,C$_{9}$H$_{8}$ClN$_{5}$S
,,,,954.66,Chebulagic acid,C$_{41}$H$_{30}$O$_{27}$
163-165,,,,190.15,Alpha-Furil,C$_{10}$H$_{6}$O$_{4}$
,,265.1,,190.28,Bourgeonal,C$_{13}$H$_{18}$O
,,,,,Arenobufagin,C$_{24}$H$_{32}$O$_{6}$
,,,10,,Pirfenidone,C$_{12}$H$_{11}$NO
,,,,,Moxestrol,C$_{21}$H$_{26}$O$_{3}$
,,,,,Etybenzatropine,C$_{22}$H$_{27}$NO
189.5,0.819,405,0.000045,216.277,Benzo(a)fluorene,C$_{17}$H$_{12}$
,,,,,Talsaclidine,C$_{10}$H$_{15}$NO
402,6.16,872,0.044,461.01,Lead(II) iodide,PbI$_{2}$
,,,insoluble,,Nitrapyrin,C$_{6}$H$_{3}$Cl$_{4}$N
,,,,,Cohune oil,C$_{21}$H$_{39}$NO$_{6}$
,,,,,Leteprinim,C$_{15}$H$_{13}$N$_{5}$O$_{4}$
,,,,,MAM-2201,C$_{25}$H$_{24}$FNO
,,,,,Levobupivacaine,C$_{18}$H$_{28}$N$_{2}$O
19-20,1.028,202,5.5,,Acetophenone,C$_{8}$H$_{8}$O
,,,,,Cyclopentadienyl,C$_{5}$H$_{5}$
,,,,,Carisbamate,C$_{9}$H$_{10}$ClNO$_{3}$
,,,,,Adipiodone,C$_{20}$H$_{14}$I$_{6}$N$_{2}$O$_{6}$
,,,,,Zimelidine,C$_{16}$H$_{17}$BrN$_{2}$
920,,,,,Scandium triiodide,I$_{3}$Sc
,,,,,Lofentanil,C$_{25}$H$_{32}$N$_{2}$O$_{3}$
,,,,,Razobazam,C$_{14}$H$_{14}$N$_{4}$O$_{2}$
,,,,,Prostacyclin,C$_{20}$H$_{32}$O$_{5}$
,,,,,Dacetuzumab,C$_{6452}$H$_{9964}$N$_{1732}$O$_{1998}$S$_{42}$
,,,,,Antalarmin,C$_{24}$H$_{34}$N$_{4}$
,,,,,Rolipram,C$_{16}$H$_{21}$NO$_{3}$
,,,,537,Hexatriacontanoic acid,C$_{36}$H$_{72}$O$_{2}$
-89,,102,decomposition,106.55,Butyryl chloride,C$_{4}$H$_{7}$ClO
212,,,Reacts,,Silicon tetraazide,SiN$_{12}$
135,0.95,,,,Polybutylene,(C$_{4}$H$_{8}$)$_{n}$
,,,,,Trimethadione,C$_{6}$H$_{9}$NO$_{3}$
,,,,,Iodoxamic acid,
,,,,1088.71,Bicornin,C$_{48}$H$_{32}$O$_{30}$
41.5,0.983,236,21,,Tridecylic acid,C$_{13}$H$_{26}$O$_{2}$
,,,,,Amtolmetin guacil,
89,,400,240,283.22,Chrome alum,KCrS$_{2}$O$_{8}$
,,,,,Troxerutin,C$_{33}$H$_{42}$O$_{19}$
,,,,,U-89843A,C$_{16}$H$_{23}$N$_{5}$
,,,,,Acebrochol,C$_{29}$H$_{48}$Br$_{2}$O$_{2}$
,,,,,Pramiracetam,C$_{14}$H$_{27}$N$_{3}$O$_{2}$
,2.53,,slightly soluble,181.9,Sodium dihydrogen arsenate,NaH$_{4}$AsO$_{5}$(MoNoH$_{y}$DRaTe)
,,,insoluble,162.034,Aluminium formate,C$_{3}$H$_{3}$AlO$_{6}$
227,4.75,447,Decomposes to bismuth oxychloride (BiOCl),315.34,Bismuth chloride,BiCl$_{3}$
9-Aug,,,,,Diphenylketene,C$_{14}$H$_{10}$O
,2.6,,8.3,667.87,Antimony potassium tartrate,K$_{2}$Sb$_{2}$(C$_{4}$H$_{2}$O$_{6}$)$_{2}$.3H$_{2}$O
sublimes 543,5.8,,,,Tantalum pentaiodide,Ta$_{2}$I$_{10}$
,,,,,Chlorothen,C$_{14}$H$_{18}$ClN$_{3}$S
,,188,Miscible,,Solketal,C$_{6}$H$_{12}$O$_{3}$
,,,,,Alazopeptin,C$_{15}$H$_{20}$N$_{6}$O$_{5}$
,,,,,Cetilistat,C$_{25}$H$_{39}$NO$_{3}$
,,99,,,Trimethylsilanol,C$_{3}$H$_{10}$OSi
152,,251,Freely soluble in water,78.0705,Ammonium carbamate,C$_{40}$H$_{33}$BF$_{24}$O$_{2}$
,,,,371.3,PYR-41,C$_{17}$H$_{13}$N$_{3}$O$_{7}$
-145,,-23,hydrolysis,42.04,Diazomethane,CH$_{2}$N$_{2}$
,,,,,XCT790,C$_{23}$H$_{13}$F$_{9}$N$_{4}$O$_{3}$S
,,,,320.72,Diosmetinidin,C$_{16}$H$_{13}$O$_{5}$+(Cl$^{-}$)
,,145-147,soluble in water,,Cornforth reagent,C$_{10}$H$_{12}$N$_{2}$Cr$_{2}$O$_{7}$
,,,,280.44,Tariric acid,C$_{18}$H$_{32}$O$_{2}$
,,,,,Stavudine,C$_{10}$H$_{12}$N$_{2}$O$_{4}$
,,,,,Tiracizine,C$_{21}$H$_{25}$N$_{3}$O$_{3}$
,,,,,DOV-216 303,
,,,130,,Succinonitrile,C$_{4}$H$_{4}$N$_{2}$
,,,,282.461,Vaccenic acid,C$_{18}$H$_{34}$O$_{2}$
,,,,,Thiepine,C$_{6}$H$_{6}$S
,,,,,Fucose,C$_{6}$H$_{12}$O$_{5}$
,7.56,,0.051,497.24,Mercury(I) sulfate,Hg$_{2}$SO$_{4}$
,,,,,Sparfloxacin,C$_{19}$H$_{22}$F$_{2}$N$_{4}$O$_{3}$
,,,,129.16,Isonipecotic acid,C$_{6}$H$_{11}$NO$_{2}$
,,,,,Acetyl,C$_{2}$H$_{3}$O
